Gene.stable.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PgB01_g172,773.90,0.81,0.54,1.49,0.14,0.33
PgB01_g173,4.30,2.89,1.21,2.39,0.02,0.08
PgB01_g174,74.66,1.63,0.42,3.85,0.00,0.00
PgB01_g175,590.84,-0.82,0.37,-2.22,0.03,0.11
PgB01_g176,61.05,0.26,0.33,0.81,0.42,0.64
PgB01_g177,480.69,0.04,0.19,0.19,0.85,0.93
PgB01_g178,3459.18,0.42,0.30,1.41,0.16,0.36
PgB01_g179,1617.63,-0.11,0.21,-0.53,0.60,0.77
PgB01_g180,3054.32,0.01,0.18,0.04,0.97,0.99
PgB01_g182,4.47,1.44,1.29,1.12,0.26,0.49
PgB01_g184,2.79,0.46,1.44,0.32,0.75,0.87
PgB01_g185,15.06,0.30,1.41,0.21,0.83,0.92
PgB01_g186,275.94,2.49,0.56,4.44,0.00,0.00
PgB01_g188,314.34,0.14,0.53,0.27,0.79,0.89
PgB01_g189,529.56,-0.02,0.31,-0.06,0.95,0.98
PgB01_g190,147.39,3.41,0.81,4.21,0.00,0.00
PgB01_g191,58.64,1.15,0.94,1.22,0.22,0.44
PgB01_g192,1085.66,-0.04,0.18,-0.21,0.83,0.92
PgB01_g193,4433.11,-0.26,0.23,-1.11,0.27,0.49
PgB01_g194,24.80,-0.25,1.61,-0.15,0.88,0.94
PgB01_g195,293.49,2.14,1.04,2.06,0.04,0.15
PgB01_g196,2700.63,-0.04,0.18,-0.20,0.84,0.92
PgB01_g197,226.78,-0.23,0.25,-0.90,0.37,0.59
PgB01_g198,2.97,3.09,2.21,1.40,0.16,0.36
PgB01_g199,24.23,-1.02,1.65,-0.62,0.54,0.73
PgB01_g200,32170.44,1.72,0.68,2.52,0.01,0.07
PgB01_g201,324.84,1.02,0.40,2.55,0.01,0.06
PgB01_g202,153.55,-0.26,0.90,-0.29,0.77,0.88
PgB01_g203,1183.23,-0.28,0.23,-1.22,0.22,0.44
PgB01_g204,1148.80,0.21,0.23,0.91,0.37,0.59
PgB01_g205,17517.91,-0.46,0.18,-2.56,0.01,0.06
PgB01_g206,13735.47,-0.57,0.21,-2.68,0.01,0.05
PgB01_g207,347.88,0.31,0.25,1.25,0.21,0.43
PgB01_g208,2179.82,2.06,0.50,4.17,0.00,0.00
PgB01_g209,17014.24,-0.14,0.17,-0.81,0.42,0.64
PgB01_g210,584.15,0.10,0.34,0.29,0.78,0.88
PgB01_g211,984.77,0.04,0.18,0.23,0.82,0.91
PgB01_g212,66.13,0.34,0.39,0.87,0.38,0.60
PgB01_g213,10497.57,-0.22,0.21,-1.06,0.29,0.51
PgB01_g214,4453.42,-1.28,0.37,-3.44,0.00,0.01
PgR036_g098,4949.74,4.50,0.80,5.61,#N/A,#N/A
PgB01_g216,57.69,2.08,1.09,1.91,0.06,0.19
PgB01_g217,397.83,0.40,0.30,1.32,0.19,0.39
PgB01_g218,466.73,1.43,0.65,2.20,0.03,0.12
PgB01_g219,1111.90,0.32,0.47,0.67,0.50,0.70
PgB01_g220,4.65,0.16,1.32,0.12,0.90,0.95
PgB01_g221,197.61,0.92,0.35,2.65,0.01,0.05
PgB01_g222,8.27,2.57,1.16,2.22,0.03,0.11
PgB01_g223,455.00,0.57,0.17,3.28,0.00,0.01
PgB01_g224,101.06,1.40,0.59,2.39,0.02,0.08
PgB01_g225,25008.41,-0.74,0.20,-3.71,0.00,0.00
PgB01_g227,253.30,0.85,0.23,3.68,0.00,0.00
PgB01_g229,87.57,0.56,0.93,0.60,0.55,0.74
PgB01_g230,1270.36,1.56,0.51,3.03,0.00,0.02
PgB01_g231,3373.37,-0.27,0.16,-1.77,0.08,0.23
PgB01_g232,66.82,0.46,0.66,0.70,0.48,0.69
PgB01_g233,875.07,-0.04,0.22,-0.19,0.85,0.93
PgB01_g235,531.26,0.16,0.21,0.77,0.44,0.65
PgB01_g236,34.86,1.56,1.10,1.42,0.16,0.36
PgB01_g237,481.45,0.37,0.21,1.80,0.07,0.22
PgB01_g238,3070.79,-0.74,0.20,-3.77,0.00,0.00
PgB01_g240,410.12,0.24,0.21,1.16,0.25,0.47
PgB01_g241,927.85,-0.02,0.14,-0.15,0.88,0.94
PgB01_g242,446.72,0.17,0.20,0.88,0.38,0.60
PgB01_g243,4430.15,-0.35,0.24,-1.45,0.15,0.34
PgB01_g244,785.13,0.27,0.31,0.87,0.39,0.60
PgB01_g245,586.54,0.22,0.26,0.83,0.41,0.63
PgB01_g246,15.17,2.49,1.93,1.29,0.20,0.41
PgB01_g247,1580.52,0.17,0.22,0.77,0.44,0.65
PgB01_g248,4432.70,0.26,0.18,1.39,0.16,0.37
PgB01_g249,1300.18,-0.12,0.21,-0.57,0.57,0.75
PgB01_g250,6.81,-0.36,1.07,-0.34,0.73,0.86
PgB01_gPgp-18,3093.35,-0.40,0.29,-1.39,0.16,0.37
PgB02X_g003,1908.30,4.35,0.75,5.79,0.00,0.00
PgB02X_g004,999.80,0.11,0.20,0.53,0.60,0.77
PgB02X_g005,1272.19,0.19,0.25,0.78,0.44,0.65
PgB02X_g006,4249.62,0.13,0.24,0.55,0.59,0.76
PgB02X_g007,26255.83,-0.20,0.17,-1.21,0.23,0.44
PgB02X_g008,1011.88,0.32,0.16,2.01,0.04,0.16
PgB02X_g009,498.49,0.40,0.56,0.72,0.47,0.68
PgB02X_g011,1247.75,-1.26,0.66,-1.92,0.06,0.19
PgB02X_g012,2510.84,0.13,0.43,0.30,0.76,0.88
PgB02X_g014,160.31,0.30,0.24,1.26,0.21,0.42
PgB02X_g015,66.80,1.37,0.37,3.72,0.00,0.00
PgB02X_g016,62.50,1.83,1.25,1.47,0.14,0.34
PgB02X_g018,7413.71,-0.30,0.17,-1.77,0.08,0.23
PgB02X_g019,173.18,-0.99,0.61,-1.61,0.11,0.28
PgB02X_g020,53.02,-0.20,0.87,-0.23,0.82,0.91
PgB02X_g022,771.52,0.33,0.31,1.05,0.29,0.52
PgB02X_g023,682.07,-0.42,0.29,-1.47,0.14,0.34
PgB02X_g024,0.42,6.60,8.11,0.81,0.42,0.63
PgB02X_g025,6013.51,0.05,0.17,0.29,0.77,0.88
PgB02X_g026,23.66,23.31,1.55,15.05,0.00,0.00
PgB02X_g027,1486.20,0.04,0.15,0.26,0.80,0.90
PgB02X_g028,358.02,-0.53,0.34,-1.55,0.12,0.31
PgB02X_g029,422.38,0.11,0.34,0.32,0.75,0.87
PgB02X_g030,1591.24,-0.76,0.17,-4.43,0.00,0.00
PgB02X_g031,3791.16,-0.66,0.25,-2.70,0.01,0.05
PgB02X_g032,1143.92,1.15,0.68,1.69,0.09,0.26
PgB02X_g033,6793.55,-0.43,0.24,-1.79,0.07,0.22
PgB02X_g034,1068.65,-1.08,0.34,-3.19,0.00,0.01
PgB02X_g035,36.58,1.99,0.70,2.86,0.00,0.03
PgB02X_g037,319.09,0.20,0.19,1.07,0.28,0.50
PgB02X_g038,434.74,0.19,0.23,0.84,0.40,0.62
PgB02X_g039,393.39,0.45,1.82,0.24,0.81,0.90
PgB02X_g040,182.19,-0.24,2.13,-0.11,0.91,0.96
PgB02X_g041,1472.41,-0.31,0.24,-1.29,0.20,0.41
PgB02X_g042,37.46,1.13,0.81,1.39,0.16,0.37
PgB02X_g043,26.24,1.01,1.13,0.90,0.37,0.59
PgB02X_g044,659.68,0.41,0.80,0.51,0.61,0.78
PgB02X_g045,3863.80,-0.81,0.21,-3.81,0.00,0.00
PgB02X_g046,351.56,1.10,0.45,2.42,0.02,0.08
PgB02X_g047,1648.91,0.25,0.35,0.72,0.47,0.68
PgB02X_g049,459.02,1.05,0.61,1.72,0.09,0.24
PgB02X_g051,3561.42,-0.28,0.21,-1.34,0.18,0.39
PgB02X_g052,2051.72,0.35,0.16,2.18,0.03,0.12
PgB02X_g053,374.15,0.47,0.92,0.52,0.61,0.78
PgB02X_g054,12861.55,-0.26,0.21,-1.22,0.22,0.44
PgB02X_g055,92.28,2.13,1.05,2.03,0.04,0.16
PgB02X_g056,293.85,0.61,1.43,0.43,0.67,0.82
PgB02X_g058,245858.90,0.81,0.76,1.07,0.28,0.51
PgB02X_g059,17.61,-1.09,1.50,-0.72,0.47,0.68
PgB02X_g060,175.45,1.32,1.24,1.07,0.29,0.51
PgB02X_g061,193.94,3.01,0.80,3.79,0.00,0.00
PgB02X_g062,159.20,-0.09,0.82,-0.11,0.91,0.96
PgB02X_g063,8939.24,0.41,0.60,0.68,0.50,0.70
PgB02X_g064,1955.48,-0.45,0.35,-1.28,0.20,0.41
PgB02X_g065,471.50,-0.29,0.35,-0.81,0.42,0.63
PgB02X_g066,2.38,3.59,1.83,1.96,0.05,0.17
PgB02X_g068,10190.59,-0.34,0.22,-1.54,0.12,0.31
PgB02X_g070,2369.20,0.00,0.28,-0.01,0.99,0.99
PgB02X_g071,2652.35,-1.11,0.34,-3.22,0.00,0.01
PgB02X_g072,1041.28,-0.27,0.17,-1.63,0.10,0.28
PgB02X_g074,2340.74,-0.57,0.33,-1.72,0.08,0.24
PgB02X_g077,836.34,-1.67,0.57,-2.96,0.00,0.03
PgB02X_g078,250.16,0.06,0.15,0.40,0.69,0.83
PgB02X_g079,1152.52,-0.02,0.20,-0.09,0.93,0.97
PgB02X_g084,2.99,0.87,2.14,0.41,0.68,0.83
PgB02X_g085,18.26,3.61,0.98,3.68,0.00,0.00
PgB02X_g086,415.57,1.36,0.83,1.64,0.10,0.27
PgB02X_g087,28.34,-0.37,0.81,-0.46,0.65,0.80
PgB02X_g088,8.09,1.23,1.34,0.92,0.36,0.58
PgB02X_g089,50.40,0.99,1.17,0.85,0.40,0.62
PgB02X_g090,2889.67,0.24,0.27,0.87,0.38,0.60
PgB02X_g091,3378.22,0.27,0.30,0.92,0.36,0.58
PgB02X_g093,6295.75,-0.70,0.23,-3.04,0.00,0.02
PgB02X_g094,748.27,0.21,0.33,0.64,0.52,0.72
PgB02X_g095,476.59,-0.57,0.30,-1.91,0.06,0.19
PgB02X_g097,24.54,2.77,1.43,1.94,0.05,0.18
PgB02X_g098,374.64,-0.11,0.33,-0.32,0.75,0.87
PgB02X_g100,28.27,3.64,2.48,1.46,0.14,0.34
PgB02X_g102,15.28,-0.19,1.49,-0.13,0.90,0.95
PgB02X_g103,167.90,2.03,0.82,2.50,0.01,0.07
PgB02X_g104,6235.60,-0.52,0.24,-2.18,0.03,0.12
PgB02X_g105,13018.45,-0.49,0.23,-2.13,0.03,0.13
PgB02X_g106,851.30,2.84,0.65,4.38,0.00,0.00
PgB02X_g107,556.47,2.86,0.61,4.73,0.00,0.00
PgB02X_g108,597.18,-1.37,1.51,-0.91,0.36,0.59
PgB02X_g111,108.56,3.65,0.81,4.51,0.00,0.00
PgB02X_g112,286.81,-0.84,0.51,-1.64,0.10,0.27
PgB02X_g113,7368.87,-0.63,0.30,-2.10,0.04,0.14
PgB02X_g114,3303.67,0.88,1.24,0.71,0.48,0.68
PgB02X_g115,17.13,0.00,0.56,0.01,1.00,1.00
PgB02X_g116,2303.44,0.10,0.15,0.66,0.51,0.71
PgB02X_g117,20.39,-1.08,0.48,-2.27,0.02,0.10
PgB02X_g118,1435.70,0.08,0.25,0.32,0.75,0.87
PgB02X_g119,3407.04,-0.33,0.30,-1.13,0.26,0.48
PgB02X_g120,5885.14,-0.05,0.27,-0.19,0.85,0.93
PgB02X_g121,8449.08,-0.02,0.21,-0.12,0.91,0.95
PgB02X_g122,330.26,3.13,0.85,3.69,0.00,0.00
PgB02X_g123,7713.94,-0.30,0.20,-1.50,0.13,0.33
PgB02X_g124,2705.99,0.06,0.13,0.51,0.61,0.78
PgB02X_g125,702.94,-0.48,0.39,-1.22,0.22,0.44
PgB02X_g126,425.52,0.37,0.22,1.69,0.09,0.26
PgB02X_g127,2226.97,0.40,0.19,2.07,0.04,0.15
PgB02X_g128,59.44,1.95,1.12,1.75,0.08,0.24
PgB02X_g129,2462.47,-0.38,0.26,-1.46,0.14,0.34
PgB02X_g130,1221.40,-0.47,0.21,-2.26,0.02,0.11
PgB02X_g132,583.21,1.47,0.59,2.50,0.01,0.07
PgB02X_g133,1020.63,-0.44,0.28,-1.59,0.11,0.29
PgB02X_g134,96.32,-0.55,0.57,-0.97,0.33,0.56
PgB02X_g135,3407.47,-0.11,0.19,-0.59,0.55,0.74
PgB02X_g136,2509.95,-0.79,0.32,-2.49,0.01,0.07
PgB02X_g137,2264.15,-0.95,0.37,-2.56,0.01,0.06
PgB02X_g139,20.22,2.33,1.21,1.93,0.05,0.18
PgB02X_g140,24.38,-0.64,0.92,-0.70,0.48,0.69
PgB02X_g141,10881.09,-0.56,0.21,-2.60,0.01,0.06
PgB02X_g142,510.74,-0.21,0.22,-0.92,0.36,0.58
PgB02X_g143,8.70,2.18,2.00,1.09,0.28,0.50
PgB02X_g144,75.07,5.71,0.94,6.06,0.00,0.00
PgB02X_g145,12331.56,-0.18,0.21,-0.87,0.38,0.60
PgB02X_g146,15636.17,-0.50,0.76,-0.66,0.51,0.71
PgB02X_g147,5694.07,-0.48,0.21,-2.31,0.02,0.10
PgB02X_g148,1282.55,-0.17,0.34,-0.49,0.63,0.79
PgB02X_g149,261.83,-0.04,0.32,-0.12,0.90,0.95
PgB02X_g150,146.25,-0.58,0.29,-2.03,0.04,0.16
PgB02X_g151,788.93,-0.64,0.22,-2.89,0.00,0.03
PgB02X_g152,14.17,0.19,0.78,0.24,0.81,0.91
PgB02X_g153,3804.58,-0.29,0.22,-1.33,0.18,0.39
PgB02X_g155,10786.39,-0.34,0.17,-1.95,0.05,0.18
PgB02X_g156,884.58,0.20,0.19,1.05,0.29,0.52
PgB02X_g157,3712.51,0.14,0.18,0.75,0.45,0.66
PgB02X_g159,6249.10,-0.60,0.22,-2.78,0.01,0.04
PgB02X_g160,1018.22,0.21,0.32,0.67,0.50,0.71
PgB02X_g161,3393.43,-0.01,0.30,-0.03,0.98,0.99
PgB02X_g164,157.88,1.43,0.53,2.71,0.01,0.05
PgB02X_g165,630.36,-0.07,0.19,-0.39,0.70,0.84
PgB02X_g166,4460.56,-0.97,0.40,-2.45,0.01,0.08
PgB02X_g167,1303.40,-0.72,0.49,-1.45,0.15,0.34
PgB02X_g168,349.06,0.52,0.22,2.36,0.02,0.09
PgB02X_g169,852.71,0.08,0.16,0.48,0.63,0.80
PgB02X_g170,129.51,0.52,0.33,1.57,0.12,0.30
PgB02X_g171,13.46,1.28,0.74,1.74,0.08,0.24
PgB02X_g172,54.46,0.82,1.02,0.80,0.42,0.64
PgB02X_g173,151.87,-0.83,0.80,-1.04,0.30,0.52
PgB02X_g174,1232.72,0.39,0.16,2.37,0.02,0.09
PgB02X_g176,358.43,-0.04,0.26,-0.14,0.89,0.95
PgB02X_g177,403.78,-0.26,0.26,-1.00,0.32,0.54
PgB02X_g178,5464.64,-0.95,0.32,-2.98,0.00,0.02
PgB02X_g179,7.55,0.76,0.82,0.92,0.36,0.58
PgB02X_g180,11163.09,-0.07,0.25,-0.29,0.77,0.88
PgB02X_g181,529.48,-1.59,0.46,-3.44,0.00,0.01
PgB02X_g182,171.99,0.87,0.36,2.43,0.02,0.08
PgB02X_g185,3.59,0.92,2.60,0.36,0.72,0.85
PgB02X_g186,11349.94,0.56,1.33,0.42,0.67,0.82
PgB02X_g187,289.10,0.70,0.28,2.51,0.01,0.07
PgB02X_g188,5243.00,-0.30,0.30,-1.00,0.32,0.54
PgB02X_g189,3.24,-1.69,0.88,-1.91,0.06,0.19
